operativo|consistencia|precondicion|postcondicion|activa|clausula_from|clausula_where|campos_pk|error_compilacion|valida|explicacion|falsos_positivos|momento|tipo|modulo|observaciones|variables_de_contexto|compilada
repsic241|cant23_componentes|o4=1|cant23=cant_15a18_no_obs|true||||La consistencia "cant23_componentes" del operativo "repsic241" es inválida. La variable "cant_15a18_no_obs" no se encontró en la lista de variables|false|La cantidad de personas de 15 a 18 años que no se observa sexo de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant24_componentes|o4=1|cant24=cant_15a18_tot|true||||La consistencia "cant24_componentes" del operativo "repsic241" es inválida. La variable "cant_15a18_tot" no se encontró en la lista de variables|false|La cantidad de personas de 15 a 18 de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant31_componentes|o4=1|cant31=cant_19a59_va|true||||La consistencia "cant31_componentes" del operativo "repsic241" es inválida. La variable "cant_19a59_va" no se encontró en la lista de variables|false|La cantidad de personas de 19 a 59 años varones de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant32_componentes|o4=1|cant32=cant_19a59_mu|true||||La consistencia "cant32_componentes" del operativo "repsic241" es inválida. La variable "cant_19a59_mu" no se encontró en la lista de variables|false|La cantidad de personas de 19 a 59 años mujeres de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant33_componentes|o4=1|cant33=cant_19a59_no_obs|true||||La consistencia "cant33_componentes" del operativo "repsic241" es inválida. La variable "cant_19a59_no_obs" no se encontró en la lista de variables|false|La cantidad de personas de 19 a 59 años de sexo no observado de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant34_componentes|o4=1|cant34=cant_19a59_tot|true||||La consistencia "cant34_componentes" del operativo "repsic241" es inválida. La variable "cant_19a59_tot" no se encontró en la lista de variables|false|La cantidad de personas de 19 a 59 años de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant41_componentes|o4=1|cant41=cant_60ymas_va|true||||La consistencia "cant41_componentes" del operativo "repsic241" es inválida. La variable "cant_60ymas_va" no se encontró en la lista de variables|false|La cantidad de personas de 60 años y más varones de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant42_componentes|o4=1|cant42=cant_60ymas_mu|true||||La consistencia "cant42_componentes" del operativo "repsic241" es inválida. La variable "cant_60ymas_mu" no se encontró en la lista de variables|false|La cantidad de personas de 60 años y más mujeres de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant43_componentes|o4=1|cant43=cant_60ymas_no_obs|true||||La consistencia "cant43_componentes" del operativo "repsic241" es inválida. La variable "cant_60ymas_no_obs" no se encontró en la lista de variables|false|La cantidad de personas de 60 años y más de sexo no observado de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant44_componentes|o4=1|cant44=cant_60ymas_tot|true||||La consistencia "cant44_componentes" del operativo "repsic241" es inválida. La variable "cant_60ymas_tot" no se encontró en la lista de variables|false|La cantidad de personas de 60 años y más de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant51_componentes|o4=1|cant51=cant_no_obs_va|true||||La consistencia "cant51_componentes" del operativo "repsic241" es inválida. La variable "cant_no_obs_va" no se encontró en la lista de variables|false|La cantidad de personas de edad no observada varones de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant52_componentes|o4=1|cant52=cant_no_obs_mu|true||||La consistencia "cant52_componentes" del operativo "repsic241" es inválida. La variable "cant_no_obs_mu" no se encontró en la lista de variables|false|La cantidad de personas de edad no observada mujeres de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant53_componentes|o4=1|cant53=cant_no_obs_no_obs|true||||La consistencia "cant53_componentes" del operativo "repsic241" es inválida. La variable "cant_no_obs_no_obs" no se encontró en la lista de variables|false|La cantidad de personas de edad no observada y sexo no observado de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant54_componentes|o4=1|cant54=cant_no_obs_tot|true||||La consistencia "cant54_componentes" del operativo "repsic241" es inválida. La variable "cant_no_obs_tot" no se encontró en la lista de variables|false|La cantidad de personas de edad no observada de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant61_componentes|o4=1|cant61=cant_tot_va|true||||La consistencia "cant61_componentes" del operativo "repsic241" es inválida. La variable "cant_tot_va" no se encontró en la lista de variables|false|La cantidad total de varones de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant62_componentes|o4=1|cant62=cant_tot_mu|true||||La consistencia "cant62_componentes" del operativo "repsic241" es inválida. La variable "cant_tot_mu" no se encontró en la lista de variables|false|La cantidad total de mujeres de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant63_componentes|o4=1|cant63=cant_tot_no_obs|true||||La consistencia "cant63_componentes" del operativo "repsic241" es inválida. La variable "cant_tot_no_obs" no se encontró en la lista de variables|false|La cantidad de personas de sexo no observado de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant64_componentes|o4=1|cant64=cant_tot_tot|true||||La consistencia "cant64_componentes" del operativo "repsic241" es inválida. La variable "cant_tot_tot" no se encontró en la lista de variables|false|La cantidad total de personas de la grilla y de los miembros entrevistados debería ser la misma|||conceptual|personas|||
repsic241|cant64_info||informado(cant64)|true|FROM grupo_personas|WHERE (true) AND (informado(cant64)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|El valor de la celda Total-Total de la pregunta O1 siempre debe estar informado|false|Recepción|auditoria|grupo_personas|||2018-11-23 12:58:10.087
repsic241|cant64_max|informado(cant64)|cant64<=15|true|FROM grupo_personas|WHERE (informado(cant64)) AND (null2zero(cant64) <= 15) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Revisar el valor de la celda Total-Total de la pregunta O1 (figura un valor superior a 15). Si bien es posible, se trata de un valor poco frecuente|true|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:10.962
repsic241|cant64_min|informado(cant64)|cant64>=1|true|FROM grupo_personas|WHERE (informado(cant64)) AND (null2zero(cant64) >= 1) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|El valor de la celda Total-Total de la pregunta O1 debe ser mayor o igual que 1|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:11.770
repsic241|egb_comp_edad|p6=3 and p7=1|p3>=14|true|FROM personas|WHERE (null2zero(p6) = 3 and null2zero(p7) = 1) AND (null2zero(p3) >= 14) IS NOT TRUE|operativo,id_caso,p0||false|Si tiene EGB completo, debería tener 14 años o mas|||conceptual|personas|||2018-11-15 17:49:56.963
repsic241|jardin_edad|p5=1 and p6=1|p3<6|true|FROM grupo_personas JOIN personas ON grupo_personas.id_caso=personas.id_caso|WHERE (null2zero(p5) = 1 and null2zero(p6) = 1) AND (null2zero(p3) < 6) IS NOT TRUE|personas.operativo,personas.id_caso,personas.p0||false|Si asiste a jardín debería tener menos de 6 años|||conceptual|personas|||2018-11-23 13:02:08.354
repsic241|o1_col1_tot||cant11 + cant21 + cant31 + cant41 + cant51 = cant61|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant11) + null2zero(cant21) + null2zero(cant31) + null2zero(cant41) + null2zero(cant51) = null2zero(cant61)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - columna 1 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:12.682
repsic241|o1_col2_tot||cant12 + cant22 + cant32 + cant42 + cant52 = cant62|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant12) + null2zero(cant22) + null2zero(cant32) + null2zero(cant42) + null2zero(cant52) = null2zero(cant62)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - columna 2 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:13.578
repsic241|o1_col3_tot||cant13 + cant23 + cant33 + cant43 + cant53 = cant63|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant13) + null2zero(cant23) + null2zero(cant33) + null2zero(cant43) + null2zero(cant53) = null2zero(cant63)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - columna 3 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:14.128
repsic241|o1_col4_tot||cant14 + cant24 + cant34 + cant44 + cant54 = cant64|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant14) + null2zero(cant24) + null2zero(cant34) + null2zero(cant44) + null2zero(cant54) = null2zero(cant64)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - columna 4 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:14.600
repsic241|o1_fila1_tot||cant11 + cant12 + cant13 = cant14|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant11) + null2zero(cant12) + null2zero(cant13) = null2zero(cant14)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - fila 1 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:15.127
repsic241|o1_fila2_tot||cant21 + cant22 + cant23 = cant24|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant21) + null2zero(cant22) + null2zero(cant23) = null2zero(cant24)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - fila 2 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:15.631
repsic241|o1_fila3_tot||cant31 + cant32 + cant33 = cant34|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant31) + null2zero(cant32) + null2zero(cant33) = null2zero(cant34)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - fila 3 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:16.174
repsic241|o1_fila4_tot||cant41 + cant42 + cant43 = cant44|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant41) + null2zero(cant42) + null2zero(cant43) = null2zero(cant44)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - fila 4 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:18.129
repsic241|o1_fila5_tot||cant51 + cant52 + cant53 = cant54|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant51) + null2zero(cant52) + null2zero(cant53) = null2zero(cant54)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - fila 5 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:18.633
repsic241|o1_fila6_tot||cant61 + cant62 + cant63 = cant64|true|FROM grupo_personas|WHERE (true) AND (null2zero(cant61) + null2zero(cant62) + null2zero(cant63) = null2zero(cant64)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|La sumatoria de los valores de la O1 - fila 6 debe coincidir con su total|false|Recepción|conceptual|grupo_personas|||2018-11-23 12:58:19.390
repsic241|o2_8_salt|o2=8|not informado(o3_1) and not informado(o3_2) and not informado(o3_3) and not informado(o3_4) and not informado(o3_5) and not informado(o3_esp)|true|FROM grupo_personas|WHERE (null2zero(o2) = 8) AND (not informado(o3_1) and not informado(o3_2) and not informado(o3_3) and not informado(o3_4) and not informado(o3_5) and not informado(o3_esp)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Si las personas están asentadas en la guardia de un hospital público (O2=8) la pregunta O3 debe estar vacía|false|Recepción|auditoria|grupo_personas|||2018-11-23 12:58:20.321
repsic241|o2_9_o2_esp|o2=9|informado(o2_esp)|true|FROM grupo_personas|WHERE (null2zero(o2) = 9) AND (informado(o2_esp)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Si las personas están asentadas en "otro lugar" (O2=9), debe haber un texto que lo especifique|false|Recepción|auditoria|grupo_personas|||2018-11-23 12:58:20.863
repsic241|o2_esp_falta_dic|informado(o2_esp)|dbo.dic_tradu('o2_esp_dic',o2_esp)>0|true||||La consistencia "o2_esp_falta_dic" del operativo "repsic241" es inválida. La Función dbo.dic_tradu no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|El texto especificado en o2_esp no existe en el diccionario. Analizar si corresponde recodificarlo, y agregarlo al diccionario|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_o2_9|informado(o2_esp)|o2=9|true|FROM grupo_personas|WHERE (informado(o2_esp)) AND (null2zero(o2) = 9) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Si o2_esp tiene un texto informado, o2 debe ser igual a 9|false|Recepción|auditoria|grupo_personas|||2018-11-23 12:57:47.359
repsic241|o2_esp_rec_o2_1|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,1)|o2=1|true||||La consistencia "o2_esp_rec_o2_1" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=1 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_rec_o2_2|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,2)|o2=2|true||||La consistencia "o2_esp_rec_o2_2" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=2 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_rec_o2_3|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,3)|o2=3|true||||La consistencia "o2_esp_rec_o2_3" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=3 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_rec_o2_4|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,4)|o2=4|true||||La consistencia "o2_esp_rec_o2_4" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=4 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_rec_o2_5|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,5)|o2=5|true||||La consistencia "o2_esp_rec_o2_5" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=5 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_rec_o2_6|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,6)|o2=6|true||||La consistencia "o2_esp_rec_o2_6" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=6 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_rec_o2_7|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,7)|o2=7|true||||La consistencia "o2_esp_rec_o2_7" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=7 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_esp_rec_o2_8|informado(o2_esp) and dbo.dic_parte('o2_esp_dic', o2_esp,8)|o2=8|true||||La consistencia "o2_esp_rec_o2_8" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o2=8 y o2_esp=vacía|true|Procesamiento|conceptual|grupo_personas|||
repsic241|o2_info||informado(o2)|true|FROM grupo_personas|WHERE (true) AND (informado(o2)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|El lugar de asentamiento (O2) debe estar informado|false|Recepción|auditoria|grupo_personas|||2018-11-23 13:04:30.239
repsic241|o2_vval|informado(o2)|o2>=1 and o2<=9|true|FROM grupo_personas|WHERE (informado(o2)) AND (null2zero(o2) >= 1 and null2zero(o2) <= 9) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Los valores válidos de O2 son: 1 a 9|false|Recepción|auditoria|grupo_personas|||2018-11-27 11:51:22.866
repsic241|o3_1_info|o2<>8|informado(o3_1)|true|FROM grupo_personas|WHERE (null2zero(o2) <> 8) AND (informado(o3_1)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Debe estar informado si en el lugar de asentamiento se observaron... muebles, enseres (o3_1)|false|Recepción|auditoria|grupo_personas|||2018-11-27 11:51:24.890
repsic241|o3_1_vval|informado(o3_1)|o3_1=1 or o3_1=2 or o3_1=777|true|FROM grupo_personas|WHERE (informado(o3_1)) AND (null2zero(o3_1) = 1 or null2zero(o3_1) = 2 or null2zero(o3_1) = 777) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Los valores válidos de O3_1 son: 1, 2 o 777|false|Recepción|auditoria|grupo_personas|||2018-11-27 11:51:25.761
repsic241|o3_2_info|o2<>8|informado(o3_2)|true|FROM grupo_personas|WHERE (null2zero(o2) <> 8) AND (informado(o3_2)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Debe estar informado si en el lugar de asentamiento se observaron... mascotas (o3_2)|||auditoria|grupo_personas|||2018-11-27 11:51:26.674
repsic241|o3_2_vval|informado(o3_2)|o3_2=1 or o3_2=2 or o3_2=777|true|FROM grupo_personas|WHERE (informado(o3_2)) AND (null2zero(o3_2) = 1 or null2zero(o3_2) = 2 or null2zero(o3_2) = 777) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Los valores válidos de o3_2 son: 1, 2 o 777|||auditoria|grupo_personas|||2018-11-27 11:51:27.458
repsic241|o3_3_info|o2<>8|informado(o3_3)|true|FROM grupo_personas|WHERE (null2zero(o2) <> 8) AND (informado(o3_3)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Debe estar informado si en el lugar de asentamiento se observaron... material de trabajo (carro, artículos para la venta) (o3_3)|||auditoria|grupo_personas|||2018-11-27 11:51:28.840
repsic241|o3_3_vval|informado(o3_3)|o3_3=1 or o3_3=2 or o3_3=777|true|FROM grupo_personas|WHERE (informado(o3_3)) AND (null2zero(o3_3) = 1 or null2zero(o3_3) = 2 or null2zero(o3_3) = 777) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Los valores válidos de o3_3 son: 1, 2 o 777|||auditoria|grupo_personas|||2018-11-27 11:51:29.742
repsic241|o3_4_info|o2<>8|informado(o3_4)|true|FROM grupo_personas|WHERE (null2zero(o2) <> 8) AND (informado(o3_4)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Debe estar informado si en el lugar de asentamiento se observaron… construcción precaria (habitáculo de cartón, carpa, etc) (o3_4)|||auditoria|grupo_personas|||2018-11-27 11:51:31.233
repsic241|o3_4_vval|informado(o3_4)|o3_4=1 or o3_4=2 or o3_4=777|true|FROM grupo_personas|WHERE (informado(o3_4)) AND (null2zero(o3_4) = 1 or null2zero(o3_4) = 2 or null2zero(o3_4) = 777) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Los valores válidos de o3_4 son: 1, 2 o 777|||auditoria|grupo_personas|||2018-11-27 11:52:22.653
repsic241|o3_5_info|o2<>8|informado(o3_5)|true|FROM grupo_personas|WHERE (null2zero(o2) <> 8) AND (informado(o3_5)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Debe estar informado si en el lugar de asentamiento se observaron…otros (o3_5)|||auditoria|grupo_personas|||2018-11-27 11:52:23.701
repsic241|o3_5_o3_esp|o3_5=1|informado(o3_esp)|true|FROM grupo_personas|WHERE (null2zero(o3_5) = 1) AND (informado(o3_esp)) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Si en el lugar de asentamiento se obsevaron… "otros", los mismos deben estar especificados en o3_esp|||auditoria|grupo_personas|||2018-11-27 11:52:24.645
repsic241|o3_5_vval|informado(o3_5)|o3_5=1 or o3_5=2 or o3_5=777|true|FROM grupo_personas|WHERE (informado(o3_5)) AND (null2zero(o3_5) = 1 or null2zero(o3_5) = 2 or null2zero(o3_5) = 777) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Los valores válidos de o3_5 son: 1, 2 o 777|||auditoria|grupo_personas|||2018-11-27 11:52:25.558
repsic241|o3_esp_falta_dic|informado(o3_esp)|dbo.dic_tradu('o3_esp_dic',o3_esp)>0|true||||La consistencia "o3_esp_falta_dic" del operativo "repsic241" es inválida. La Función dbo.dic_tradu no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|El texto especificado en o3_esp no existe en el diccionario. Analizar si corresponde recodificarlo, y agregarlo al diccionario|||conceptual|grupo_personas|||
repsic241|o3_esp_o3_5|informado(o3_esp)|o3_5=1|true|FROM grupo_personas|WHERE (informado(o3_esp)) AND (null2zero(o3_5) = 1) IS NOT TRUE|grupo_personas.operativo,grupo_personas.id_caso||false|Si existen otros especificados en o3_esp, debería estar marcada o3_5=1|||auditoria|grupo_personas|||2018-11-27 11:52:29.273
repsic241|o3_esp_rec_o3_1_1|informado(o3_esp) and dbo.dic_parte('o3_esp_dic', o3_esp,1)|o3_1=1|true||||La consistencia "o3_esp_rec_o3_1_1" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o3_1=1 y o3_esp=vacía|||conceptual|grupo_personas|||
repsic241|o3_esp_rec_o3_2_1|informado(o3_esp) and dbo.dic_parte('o3_esp_dic', o3_esp,2)|o3_2=1|true||||La consistencia "o3_esp_rec_o3_2_1" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o3_2=1 y o3_esp=vacía|||conceptual|grupo_personas|||
repsic241|o3_esp_rec_o3_3_1|informado(o3_esp) and dbo.dic_parte('o3_esp_dic', o3_esp,3)|o3_3=1|true||||La consistencia "o3_esp_rec_o3_3_1" del operativo "repsic241" es inválida. La Función dbo.dic_parte no está incluida en la whiteList de funciones: div,avg,count,max,min,sum,coalesce,informado,dic_tradu|false|Se recomienda recodificar el texto como: o3_3=1 y o3_esp=vacía|||conceptual|grupo_personas|||
